DBN,SAT,REGENTS,CLUSTER,GRADE,GRADRATE
27Q475,MED,MED,LOW,C,LOW
27Q480,MED,MED,LOW,C,MED
27Q650,HIGH,HIGH,MED,B,HIGH
28Q167,<NA>,<NA>,<NA>,A,<NA>
28Q310,HIGH,<NA>,<NA>,C,LOW
28Q310,HIGH,<NA>,<NA>,A,LOW
28Q325,<NA>,<NA>,<NA>,,<NA>
28Q328,<NA>,<NA>,<NA>,,<NA>
28Q338,MED,<NA>,<NA>,D,LOW
28Q350,HIGH,<NA>,<NA>,A,<NA>
28Q440,HIGH,HIGH,MED,A,HIGH
28Q470,LOW,MED,LOW,,LOW
28Q505,MED,MED,LOW,B,MED
28Q620,HIGH,HIGH,MED,A,HIGH
28Q680,HIGH,HIGH,HIGH,B,HIGH
28Q680,HIGH,HIGH,HIGH,B,HIGH
28Q686,<NA>,<NA>,<NA>,,<NA>
28Q687,HIGH,HIGH,HIGH,A,HIGH
28Q896,HIGH,HIGH,MED,C,HIGH
28Q896,HIGH,HIGH,MED,B,HIGH
29Q326,<NA>,<NA>,<NA>,,<NA>
29Q492,HIGH,HIGH,MED,C,HIGH
29Q494,MED,MED,LOW,D,MED
29Q496,MED,LOW,LOW,D,LOW
29Q498,MED,LOW,LOW,B,HIGH
30Q301,HIGH,<NA>,<NA>,A,<NA>
30Q445,HIGH,HIGH,LOW,C,MED
30Q450,HIGH,HIGH,LOW,C,MED
30Q501,HIGH,HIGH,MED,A,HIGH
30Q502,HIGH,MED,LOW,C,MED
30Q555,MED,HIGH,LOW,A,MED
30Q575,HIGH,HIGH,MED,A,HIGH
30Q580,HIGH,HIGH,HIGH,A,HIGH
30Q580,HIGH,HIGH,HIGH,B,HIGH
31R047,HIGH,HIGH,MED,A,HIGH
31R064,MED,<NA>,<NA>,A,LOW
31R067,<NA>,<NA>,<NA>,<NA>,<NA>
31R080,HIGH,HIGH,MED,A,HIGH
31R080,HIGH,HIGH,MED,C,HIGH
31R440,HIGH,HIGH,MED,B,HIGH
31R445,HIGH,MED,MED,B,MED
31R450,HIGH,MED,MED,B,MED
31R455,HIGH,HIGH,MED,B,HIGH
31R460,HIGH,HIGH,MED,A,HIGH
31R470,HIGH,LOW,LOW,A,LOW
31R600,HIGH,MED,LOW,B,MED
31R605,HIGH,HIGH,HIGH,A,HIGH
32K168,<NA>,<NA>,<NA>,,<NA>
32K403,LOW,LOW,LOW,A,MED
32K545,MED,MED,LOW,B,MED
32K549,LOW,MED,LOW,B,MED
